DATE,STORE_NBR,LYLTY_CARD_NBR,TXN_ID,PROD_NBR,PROD_NAME,PROD_QTY,TOT_SALES,LYLTY_CARD_NBR,LIFESTAGE,PREMIUM_CUSTOMER
04 March 2019,1,1411,478,30,Doritos Corn Chips  Cheese Supreme 170g,1,4.4,1335,YOUNG SINGLES/COUPLES,Budget
23 September 2018,2,2203,805,28,Thins Potato Chips  Hot & Spicy 175g,1,3.3,1339,OLDER FAMILIES,Premium
26 September 2018,2,2438,1053,16,Smiths Crinkle Chips Salt & Vinegar 330g,1,5.7,1349,OLDER SINGLES/COUPLES,Budget
30 March 2019,2,2438,1054,96,WW Original Stacked Chips 160g,2,3.8,1350,OLDER FAMILIES,Budget
18 July 2018,3,3167,1793,75,Cobs Popd Sea Salt  Chips 110g,2,7.6,1361,RETIREES,Budget
28 July 2018,3,3167,1794,40,Thins Chips Seasonedchicken 175g,2,6.6,1362,OLDER FAMILIES,Mainstream
02 March 2019,3,3326,2481,44,Thins Chips Light&  Tangy 175g,2,6.6,1366,MIDAGE SINGLES/COUPLES,Premium
11 June 2019,3,3326,2484,40,Thins Chips Seasonedchicken 175g,2,6.6,1370,NEW FAMILIES,Budget
26 March 2019,3,3349,2573,75,Cobs Popd Sea Salt  Chips 110g,1,3.8,1376,RETIREES,Mainstream
06 August 2018,4,4016,2713,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,1377,OLDER SINGLES/COUPLES,Premium
13 October 2018,4,4072,2966,75,Cobs Popd Sea Salt  Chips 110g,2,7.6,1384,YOUNG SINGLES/COUPLES,Budget
09 October 2018,4,4106,3135,78,Thins Chips Salt &  Vinegar 175g,2,6.6,1399,MIDAGE SINGLES/COUPLES,Premium
13 April 2019,4,4106,3136,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,1400,RETIREES,Premium
27 June 2019,4,4106,3137,78,Thins Chips Salt &  Vinegar 175g,2,6.6,1401,NEW FAMILIES,Premium
30 June 2019,4,4196,3540,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,1410,RETIREES,Budget
21 August 2018,4,4363,4282,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,1411,MIDAGE SINGLES/COUPLES,Budget
23 March 2019,4,4363,4284,40,Thins Chips Seasonedchicken 175g,2,6.6,1413,OLDER FAMILIES,Budget
24 December 2018,4,4371,4316,78,Thins Chips Salt &  Vinegar 175g,2,6.6,1419,YOUNG FAMILIES,Budget
31 October 2018,5,5026,4528,44,Thins Chips Light&  Tangy 175g,2,6.6,1439,YOUNG FAMILIES,Premium
11 June 2019,5,5050,4672,61,Smiths Crinkle Cut  Chips Chicken 170g,2,5.8,1463,RETIREES,Mainstream
23 June 2019,5,5091,4906,100,Smiths Crinkle Cut  Chips Chs&Onion170g,2,5.8,1465,YOUNG SINGLES/COUPLES,Mainstream
02 October 2018,5,5136,5173,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,2,7.6,1477,OLDER FAMILIES,Premium
27 October 2018,6,6138,5932,77,Doritos Corn Chips  Nacho Cheese 170g,2,8.8,1491,MIDAGE SINGLES/COUPLES,Budget
09 July 2018,6,6234,6025,78,Thins Chips Salt &  Vinegar 175g,1,3.3,1494,YOUNG SINGLES/COUPLES,Budget
21 July 2018,7,7077,6601,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,2000,NEW FAMILIES,Mainstream
12 March 2019,7,7077,6606,40,Thins Chips Seasonedchicken 175g,2,6.6,2006,OLDER FAMILIES,Mainstream
20 November 2018,7,7084,6629,40,Thins Chips Seasonedchicken 175g,2,6.6,2008,YOUNG SINGLES/COUPLES,Budget
14 October 2018,7,7133,6814,75,Cobs Popd Sea Salt  Chips 110g,2,7.6,2018,OLDER SINGLES/COUPLES,Mainstream
16 April 2019,7,7173,7003,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,2035,MIDAGE SINGLES/COUPLES,Mainstream
24 April 2019,7,7173,7004,16,Smiths Crinkle Chips Salt & Vinegar 330g,2,11.4,2036,NEW FAMILIES,Premium
23 March 2019,7,7364,7741,78,Thins Chips Salt &  Vinegar 175g,2,6.6,2047,YOUNG SINGLES/COUPLES,Budget
11 March 2019,8,8294,8222,78,Thins Chips Salt &  Vinegar 175g,2,6.6,2051,OLDER SINGLES/COUPLES,Mainstream
27 June 2019,8,8294,8223,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,2,7.6,2052,YOUNG SINGLES/COUPLES,Mainstream
24 November 2018,9,9273,8715,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,2,7.6,2080,YOUNG SINGLES/COUPLES,Budget
05 December 2018,10,10118,9742,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,2,7.6,2089,OLDER SINGLES/COUPLES,Budget
03 July 2018,10,10192,10174,21,WW Sour Cream &OnionStacked Chips 160g,2,3.8,2098,RETIREES,Mainstream
18 December 2018,10,10192,10176,100,Smiths Crinkle Cut  Chips Chs&Onion170g,2,5.8,2101,OLDER SINGLES/COUPLES,Mainstream
13 April 2019,10,10200,10226,8,Smiths Crinkle Cut  Chips Original 170g,2,5.8,2107,YOUNG FAMILIES,Mainstream
21 June 2019,10,10200,10227,21,WW Sour Cream &OnionStacked Chips 160g,2,3.8,2112,RETIREES,Mainstream
06 September 2018,13,13010,11153,16,Smiths Crinkle Chips Salt & Vinegar 330g,2,11.4,2119,YOUNG SINGLES/COUPLES,Budget
09 October 2018,13,13010,11155,2,Cobs Popd Sour Crm  &Chives Chips 110g,2,7.6,2121,YOUNG SINGLES/COUPLES,Mainstream
08 June 2019,13,13010,11158,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,2125,RETIREES,Mainstream
23 December 2018,13,13047,11391,75,Cobs Popd Sea Salt  Chips 110g,2,7.6,2135,RETIREES,Mainstream
28 July 2018,13,13176,12210,100,Smiths Crinkle Cut  Chips Chs&Onion170g,2,5.8,2143,OLDER SINGLES/COUPLES,Mainstream
28 March 2019,13,13176,12214,30,Doritos Corn Chips  Cheese Supreme 170g,2,8.8,2148,RETIREES,Budget
01 February 2019,13,13213,12449,30,Doritos Corn Chips  Cheese Supreme 170g,2,8.8,2150,RETIREES,Budget
15 June 2019,13,13213,12451,47,Doritos Corn Chips  Original 170g,2,8.8,2154,OLDER SINGLES/COUPLES,Mainstream
01 November 2018,15,15145,13633,27,WW Supreme Cheese   Corn Chips 200g,2,3.8,2181,YOUNG SINGLES/COUPLES,Mainstream
01 December 2018,15,15145,13634,21,WW Sour Cream &OnionStacked Chips 160g,2,3.8,2182,OLDER SINGLES/COUPLES,Premium
12 January 2019,15,15145,13635,27,WW Supreme Cheese   Corn Chips 200g,2,3.8,2183,OLDER FAMILIES,Mainstream
05 December 2018,16,16131,14279,78,Thins Chips Salt &  Vinegar 175g,1,3.3,2190,YOUNG SINGLES/COUPLES,Mainstream
13 April 2019,17,17294,15055,75,Cobs Popd Sea Salt  Chips 110g,2,7.6,2222,MIDAGE SINGLES/COUPLES,Mainstream
04 December 2018,18,18020,15207,100,Smiths Crinkle Cut  Chips Chs&Onion170g,2,5.8,2225,MIDAGE SINGLES/COUPLES,Mainstream
15 March 2019,18,18080,15277,100,Smiths Crinkle Cut  Chips Chs&Onion170g,1,2.9,2226,OLDER FAMILIES,Budget
05 September 2018,19,19024,15864,44,Thins Chips Light&  Tangy 175g,2,6.6,2236,OLDER SINGLES/COUPLES,Budget
17 June 2019,19,19024,15866,75,Cobs Popd Sea Salt  Chips 110g,2,7.6,2238,RETIREES,Mainstream
29 June 2019,19,19272,16687,30,Doritos Corn Chips  Cheese Supreme 170g,2,8.8,2260,YOUNG FAMILIES,Mainstream
21 July 2018,20,20120,17084,21,WW Sour Cream &OnionStacked Chips 160g,1,1.9,2272,YOUNG SINGLES/COUPLES,Budget
19 June 2019,21,21092,17664,30,Doritos Corn Chips  Cheese Supreme 170g,2,8.8,2288,YOUNG SINGLES/COUPLES,Mainstream
21 May 2019,23,23061,19116,61,Smiths Crinkle Cut  Chips Chicken 170g,2,5.8,2323,YOUNG FAMILIES,Budget
09 December 2018,23,23119,19455,30,Doritos Corn Chips  Cheese Supreme 170g,2,8.8,2354,RETIREES,Budget
13 January 2019,23,23119,19457,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,2358,YOUNG FAMILIES,Mainstream
01 April 2019,24,24032,20455,96,WW Original Stacked Chips 160g,2,3.8,2365,RETIREES,Mainstream
05 October 2018,26,26330,23701,78,Thins Chips Salt &  Vinegar 175g,2,6.6,2396,RETIREES,Budget
05 January 2019,26,26330,23705,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,2400,YOUNG SINGLES/COUPLES,Mainstream
27 August 2018,26,26341,23737,44,Thins Chips Light&  Tangy 175g,2,6.6,2402,YOUNG FAMILIES,Budget
28 December 2018,27,27044,23999,2,Cobs Popd Sour Crm  &Chives Chips 110g,2,7.6,2414,OLDER SINGLES/COUPLES,Mainstream
27 June 2019,27,27116,24112,78,Thins Chips Salt &  Vinegar 175g,2,6.6,2421,MIDAGE SINGLES/COUPLES,Mainstream
26 April 2019,28,28206,25749,16,Smiths Crinkle Chips Salt & Vinegar 330g,2,11.4,2447,YOUNG SINGLES/COUPLES,Mainstream
19 February 2019,28,28227,25878,75,Cobs Popd Sea Salt  Chips 110g,2,7.6,2454,MIDAGE SINGLES/COUPLES,Budget
09 March 2019,29,29214,26241,47,Doritos Corn Chips  Original 170g,2,8.8,2466,YOUNG SINGLES/COUPLES,Budget
24 May 2019,30,30032,26681,2,Cobs Popd Sour Crm  &Chives Chips 110g,2,7.6,2470,YOUNG FAMILIES,Budget
06 February 2019,30,30131,27292,22,Thins Chips         Originl saltd 175g,2,6.6,2478,OLDER SINGLES/COUPLES,Premium
24 May 2019,30,30131,27296,47,Doritos Corn Chips  Original 170g,2,8.8,2482,RETIREES,Budget
14 September 2018,32,32130,28796,61,Smiths Crinkle Cut  Chips Chicken 170g,2,5.8,3000,OLDER SINGLES/COUPLES,Budget
12 December 2018,32,32130,28798,22,Thins Chips         Originl saltd 175g,2,6.6,3002,OLDER SINGLES/COUPLES,Premium
27 November 2018,32,32169,29020,21,WW Sour Cream &OnionStacked Chips 160g,2,3.8,3006,YOUNG SINGLES/COUPLES,Mainstream
14 December 2018,32,32169,29021,21,WW Sour Cream &OnionStacked Chips 160g,2,3.8,3007,MIDAGE SINGLES/COUPLES,Mainstream
06 April 2019,32,32169,29023,16,Smiths Crinkle Chips Salt & Vinegar 330g,2,11.4,3009,OLDER SINGLES/COUPLES,Mainstream
08 May 2019,32,32169,29024,40,Thins Chips Seasonedchicken 175g,2,6.6,3010,RETIREES,Mainstream
07 August 2018,32,32208,29267,40,Thins Chips Seasonedchicken 175g,2,6.6,3012,OLDER FAMILIES,Budget
20 September 2018,33,33019,29543,29,French Fries Potato Chips 175g,2,6.0,3023,MIDAGE SINGLES/COUPLES,Premium
09 May 2019,33,33019,29546,21,WW Sour Cream &OnionStacked Chips 160g,2,3.8,3024,OLDER SINGLES/COUPLES,Premium
04 April 2019,33,33027,29609,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,2,7.6,3028,YOUNG FAMILIES,Mainstream
13 January 2019,33,33081,29952,21,WW Sour Cream &OnionStacked Chips 160g,2,3.8,3031,YOUNG SINGLES/COUPLES,Mainstream
03 June 2019,33,33152,30428,40,Thins Chips Seasonedchicken 175g,2,6.6,3038,RETIREES,Budget
30 May 2019,34,34316,31519,30,Doritos Corn Chips  Cheese Supreme 170g,2,8.8,3041,YOUNG SINGLES/COUPLES,Budget
20 February 2019,34,34352,31570,78,Thins Chips Salt &  Vinegar 175g,2,6.6,3046,OLDER SINGLES/COUPLES,Premium
16 June 2019,35,35414,31957,61,Smiths Crinkle Cut  Chips Chicken 170g,1,2.9,3052,MIDAGE SINGLES/COUPLES,Mainstream
23 April 2019,36,36151,32601,44,Thins Chips Light&  Tangy 175g,2,6.6,3069,OLDER SINGLES/COUPLES,Mainstream
18 September 2018,36,36203,32790,40,Thins Chips Seasonedchicken 175g,2,6.6,3070,OLDER FAMILIES,Budget
19 March 2019,36,36203,32792,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,2,7.6,3072,RETIREES,Budget
04 September 2018,37,37171,33698,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,2,7.6,3089,OLDER SINGLES/COUPLES,Mainstream
21 August 2018,38,38142,34182,1,Smiths Crinkle Cut  Chips Barbecue 170g,1,2.9,3095,OLDER SINGLES/COUPLES,Premium
12 January 2019,38,38236,34274,96,WW Original Stacked Chips 160g,1,1.9,3098,YOUNG SINGLES/COUPLES,Budget
16 December 2018,38,38355,34410,2,Cobs Popd Sour Crm  &Chives Chips 110g,2,7.6,3100,OLDER FAMILIES,Mainstream
26 November 2018,38,38442,34505,22,Thins Chips         Originl saltd 175g,1,3.3,3104,YOUNG SINGLES/COUPLES,Budget
20 November 2018,38,38467,34543,110,WW Original Corn    Chips 200g,2,3.8,3106,YOUNG SINGLES/COUPLES,Budget
11 August 2018,39,39042,34869,8,Smiths Crinkle Cut  Chips Original 170g,2,5.8,3107,OLDER SINGLES/COUPLES,Premium
18 November 2018,39,39125,35376,27,WW Supreme Cheese   Corn Chips 200g,2,3.8,3116,YOUNG SINGLES/COUPLES,Mainstream
22 January 2019,39,39125,35379,110,WW Original Corn    Chips 200g,2,3.8,3119,RETIREES,Premium
25 August 2018,39,39134,35434,29,French Fries Potato Chips 175g,2,6.0,3123,OLDER SINGLES/COUPLES,Budget
21 September 2018,39,39134,35437,22,Thins Chips         Originl saltd 175g,2,6.6,3126,RETIREES,Premium
08 February 2019,39,39134,35442,77,Doritos Corn Chips  Nacho Cheese 170g,2,8.8,3131,YOUNG SINGLES/COUPLES,Mainstream
17 December 2018,39,39144,35503,96,WW Original Stacked Chips 160g,2,3.8,3136,NEW FAMILIES,Premium
01 December 2018,39,39167,35641,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,2,7.6,3141,YOUNG FAMILIES,Budget
19 November 2018,40,40015,36171,77,Doritos Corn Chips  Nacho Cheese 170g,2,8.8,3149,RETIREES,Mainstream
20 April 2019,40,40015,36173,44,Thins Chips Light&  Tangy 175g,2,6.6,3151,RETIREES,Mainstream
14 January 2019,40,40240,37205,44,Thins Chips Light&  Tangy 175g,2,6.6,3156,RETIREES,Mainstream
06 February 2019,40,40240,37206,44,Thins Chips Light&  Tangy 175g,2,6.6,3157,OLDER SINGLES/COUPLES,Mainstream
08 May 2019,40,40240,37207,2,Cobs Popd Sour Crm  &Chives Chips 110g,2,7.6,3158,OLDER SINGLES/COUPLES,Mainstream
13 September 2018,41,41391,38350,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1,3.8,3174,OLDER SINGLES/COUPLES,Mainstream
22 December 2018,41,41423,38390,27,WW Supreme Cheese   Corn Chips 200g,1,1.9,3175,YOUNG FAMILIES,Budget
19 April 2019,41,41423,38392,110,WW Original Corn    Chips 200g,1,1.9,3177,NEW FAMILIES,Premium
06 May 2019,43,43080,39130,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,3183,OLDER SINGLES/COUPLES,Mainstream
20 March 2019,43,43112,39356,110,WW Original Corn    Chips 200g,2,3.8,3192,YOUNG FAMILIES,Mainstream
01 October 2018,43,43147,39603,2,Cobs Popd Sour Crm  &Chives Chips 110g,2,7.6,3196,MIDAGE SINGLES/COUPLES,Premium
11 December 2018,43,43147,39604,30,Doritos Corn Chips  Cheese Supreme 170g,2,8.8,3197,RETIREES,Mainstream
30 June 2019,43,43147,39609,1,Smiths Crinkle Cut  Chips Barbecue 170g,2,5.8,3202,OLDER SINGLES/COUPLES,Mainstream
09 April 2019,43,43149,39621,61,Smiths Crinkle Cut  Chips Chicken 170g,2,5.8,3208,YOUNG FAMILIES,Premium
25 November 2018,45,45019,40531,21,WW Sour Cream &OnionStacked Chips 160g,2,3.8,3216,OLDER SINGLES/COUPLES,Mainstream
13 April 2019,45,45019,40535,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,3220,OLDER SINGLES/COUPLES,Premium
11 November 2018,45,45126,41115,78,Thins Chips Salt &  Vinegar 175g,2,6.6,3226,OLDER FAMILIES,Budget
12 December 2018,45,45127,41121,44,Thins Chips Light&  Tangy 175g,2,6.6,3232,RETIREES,Budget
25 July 2018,45,45187,41479,44,Thins Chips Light&  Tangy 175g,2,6.6,3236,YOUNG FAMILIES,Mainstream
10 February 2019,45,45187,41481,21,WW Sour Cream &OnionStacked Chips 160g,2,3.8,3238,YOUNG SINGLES/COUPLES,Mainstream
13 September 2018,46,46179,41997,22,Thins Chips         Originl saltd 175g,2,6.6,3245,MIDAGE SINGLES/COUPLES,Premium
03 April 2019,46,46462,42317,16,Smiths Crinkle Chips Salt & Vinegar 330g,1,5.7,3251,YOUNG SINGLES/COUPLES,Mainstream
07 June 2019,46,46475,42336,78,Thins Chips Salt &  Vinegar 175g,2,6.6,3253,YOUNG SINGLES/COUPLES,Premium
09 January 2019,47,47039,42409,78,Thins Chips Salt &  Vinegar 175g,2,6.6,3256,OLDER SINGLES/COUPLES,Premium
28 October 2018,47,47204,42616,78,Thins Chips Salt &  Vinegar 175g,2,6.6,3265,YOUNG FAMILIES,Mainstream
18 December 2018,47,47271,42715,77,Doritos Corn Chips  Nacho Cheese 170g,2,8.8,3272,YOUNG FAMILIES,Premium
19 April 2019,47,47287,42734,47,Doritos Corn Chips  Original 170g,2,8.8,3276,OLDER SINGLES/COUPLES,Budget
28 September 2018,47,47326,42789,33,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1,3.8,3278,YOUNG SINGLES/COUPLES,Mainstream
01 October 2018,47,47326,42790,22,Thins Chips         Originl saltd 175g,2,6.6,3279,MIDAGE SINGLES/COUPLES,Mainstream
10 April 2019,48,48131,43861,1,Smiths Crinkle Cut  Chips Barbecue 170g,2,5.8,3291,OLDER FAMILIES,Mainstream
23 July 2018,48,48179,44174,27,WW Supreme Cheese   Corn Chips 200g,2,3.8,3294,MIDAGE SINGLES/COUPLES,Mainstream
15 March 2019,48,48179,44176,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,3296,OLDER SINGLES/COUPLES,Budget
22 June 2019,48,48188,44226,96,WW Original Stacked Chips 160g,2,3.8,3304,MIDAGE SINGLES/COUPLES,Mainstream
21 January 2019,49,49152,45138,2,Cobs Popd Sour Crm  &Chives Chips 110g,2,7.6,3306,OLDER FAMILIES,Premium
12 July 2018,49,49203,45366,78,Thins Chips Salt &  Vinegar 175g,2,6.6,3308,OLDER SINGLES/COUPLES,Mainstream
20 January 2019,49,49278,45679,2,Cobs Popd Sour Crm  &Chives Chips 110g,2,7.6,3317,OLDER SINGLES/COUPLES,Premium
07 March 2019,49,49278,45680,30,Doritos Corn Chips  Cheese Supreme 170g,2,8.8,3318,RETIREES,Mainstream
23 November 2018,50,50034,46156,61,Smiths Crinkle Cut  Chips Chicken 170g,2,5.8,3326,MIDAGE SINGLES/COUPLES,Budget
02 November 2018,50,50137,46269,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,3335,NEW FAMILIES,Budget
26 August 2018,50,50192,46341,21,WW Sour Cream &OnionStacked Chips 160g,1,1.9,3338,YOUNG SINGLES/COUPLES,Mainstream
14 March 2019,50,50464,46632,100,Smiths Crinkle Cut  Chips Chs&Onion170g,1,2.9,3341,YOUNG SINGLES/COUPLES,Mainstream
22 August 2018,51,51103,46809,77,Doritos Corn Chips  Nacho Cheese 170g,1,4.4,3345,OLDER SINGLES/COUPLES,Budget
16 December 2018,51,51103,46810,27,WW Supreme Cheese   Corn Chips 200g,1,1.9,3346,YOUNG FAMILIES,Mainstream
06 August 2018,51,51256,46953,2,Cobs Popd Sour Crm  &Chives Chips 110g,1,3.8,3348,OLDER FAMILIES,Budget
11 November 2018,51,51256,46954,8,Smiths Crinkle Cut  Chips Original 170g,1,2.9,3349,MIDAGE SINGLES/COUPLES,Budget
25 January 2019,52,52173,47208,16,Smiths Crinkle Chips Salt & Vinegar 330g,2,11.4,3353,YOUNG FAMILIES,Budget
24 March 2019,53,53058,47312,96,WW Original Stacked Chips 160g,1,1.9,3355,OLDER FAMILIES,Budget
31 October 2018,53,53284,47565,27,WW Supreme Cheese   Corn Chips 200g,1,1.9,3357,OLDER FAMILIES,Budget
14 March 2019,53,53284,47566,75,Cobs Popd Sea Salt  Chips 110g,1,3.8,3358,OLDER SINGLES/COUPLES,Budget
30 November 2018,53,53421,47715,40,Thins Chips Seasonedchicken 175g,1,3.3,3364,YOUNG FAMILIES,Mainstream
20 November 2018,54,54170,48085,30,Doritos Corn Chips  Cheese Supreme 170g,2,8.8,4003,OLDER FAMILIES,Mainstream
02 November 2018,54,54218,48163,28,Thins Potato Chips  Hot & Spicy 175g,2,6.6,4007,YOUNG FAMILIES,Premium
20 October 2018,55,55023,48582,40,Thins Chips Seasonedchicken 175g,2,6.6,4017,MIDAGE SINGLES/COUPLES,Premium
29 January 2019,55,55023,48585,16,Smiths Crinkle Chips Salt & Vinegar 330g,2,11.4,4020,YOUNG SINGLES/COUPLES,Mainstream
15 June 2019,55,55073,48889,16,Smiths Crinkle Chips Salt & Vinegar 330g,2,11.4,4037,RETIREES,Mainstream
09 May 2019,55,55114,49138,110,WW Original Corn    Chips 200g,2,3.8,4049,MIDAGE SINGLES/COUPLES,Premium
23 June 2019,55,55114,49139,77,Doritos Corn Chips  Nacho Cheese 170g,2,8.8,4050,OLDER SINGLES/COUPLES,Premium
